,storyidentifier,tickers,storyanalyticsconfidencevalues,storyanalyticsscores,storytime,wirenumber,storyheadline
0,JPP1AM0D9L35,SIBE,99,0,10/10/2007 11:30,25,*SIBLING THEATRICALS
1,JPPOIJ4TPKB5,QQQ,90,0,10/10/2007 19:51,25,*CROSS IMBALANCE BUY 95214 SHARES: QQQQ   (NASDAQ)
2,JPPRAP0D9L39,ZAZA,94,0,10/10/2007 20:52,25,*TOREADOR RESOURCES SAYS DIRECTOR WILLIAM LEE DIED     :TRGL US
3,L6P9863PR6RK,MSFT,93,-1,10/10/2007 8:24,2557,na
4,L6P9883PR6RL,DISH,79,0,10/10/2007 8:28,2557,na
5,L6P9883PR6RL,VZ,70,1,10/10/2007 8:28,2557,na
6,L6P98P3PR6RL,SHLD,89,0,10/10/2007 17:05,2557,na
7,L6P98U3PR6RK,MSFT,49,0,10/10/2007 21:12,2557,na
8,L6P98Z3PR6RL,S,45,1,10/10/2007 16:55,2557,na
9,L6P99M3PR6RK,BA,85,0,10/10/2007 20:52,2557,na
10,L6P99Q3PR6RK,HON,76,-1,10/10/2007 20:54,2557,na
11,L6P99R3PR6RK,NOVL,81,0,10/10/2007 20:37,2557,na
12,L6P99U3PR6RK,BBY,60,0,10/10/2007 21:04,2557,na
13,L6P9A83PR6RK,GOOG,73,0,10/10/2007 21:23,2557,na
14,L6P9A83PR6RK,T,94,0,10/10/2007 21:23,2557,na
15,LPQMW93PR6RK,BVI@FP,77,1,10/10/2007 6:00,2754,na
16,M0VQ833PWT1C,EMC,98,0,10/10/2007 0:00,878,na
17,M0VRP43PWT1E,LNDC,98,0,10/10/2007 0:00,878,na
18,M5UR5Z6VOT1F,XEL,60,0,10/10/2007 16:28,1807,Winnipeg F-P: It's not easy being green
19,M5UR7M6VOT1C,TAP,92,0,10/10/2007 16:28,1807,Winnipeg F-P: U.S. beer companies toast new partnership
